Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"journals/tvcg/QuanCJJ18"	"An Intelligent System Approach for Probabilistic Volume Rendering Using Hierarchical 3D Convolutional Sparse Coding."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"1"	"https://doi.org/10.1109/TVCG.2017.2744078"	"Tran Minh Quan;Junyoung Choi;Haejin Jeong;Won-Ki Jeong"
"journals/tvcg/QuigleyYHLF18"	"Real-Time Interactive Tree Animation."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"5"	"https://doi.org/10.1109/TVCG.2017.2661308"	"Ed Quigley;Yue Yu 0006;Jingwei Huang;Winnie Lin;Ronald Fedkiw"
"journals/tvcg/QuinanM16"	"Visually Comparing Weather Features in Forecasts."	"2016"	"IEEE Trans. Vis. Comput. Graph."	"22"	"1"	"https://doi.org/10.1109/TVCG.2015.2467754"	"P. Samuel Quinan;Miriah D. Meyer"
"journals/tvcg/QuinnLLM13"	"Generalized Anisotropic Stratified Surface Sampling."	"2013"	"IEEE Trans. Vis. Comput. Graph."	"19"	"7"	"https://doi.org/10.1109/TVCG.2012.305"	"Jonathan A. Quinn;Frank C. Langbein;Yu-Kun Lai;Ralph R. Martin"
"journals/tvcg/RadziewskyKEE17"	"Efficient Stochastic Rendering of Static and Animated Volumes Using Visibility Sweeps."	"2017"	"IEEE Trans. Vis. Comput. Graph."	"23"	"9"	"https://doi.org/10.1109/TVCG.2016.2606498"	"Philipp von Radziewsky;Thomas Kroes;Martin Eisemann;Elmar Eisemann"
"journals/tvcg/RaganBKSSM15"	"Effects of Field of View and Visual Complexity on Virtual Reality Training Effectiveness for a Visual Scanning Task."	"2015"	"IEEE Trans. Vis. Comput. Graph."	"21"	"7"	"https://doi.org/10.1109/TVCG.2015.2403312"	"Eric D. Ragan;Doug A. Bowman;Regis Kopper;Cheryl Stinson;Siroberto Scerbo;Ryan P. McMahan"
"journals/tvcg/RaganESC16"	"Characterizing Provenance in Visualization and Data Analysis: An Organizational Framework of Provenance Types and Purposes."	"2016"	"IEEE Trans. Vis. Comput. Graph."	"22"	"1"	"https://doi.org/10.1109/TVCG.2015.2467551"	"Eric D. Ragan;Alex Endert;Jibonananda Sanyal;Jian Chen 0006"
"journals/tvcg/RaganKSB13"	"Studying the Effects of Stereo, Head Tracking, and Field of Regard on a Small-Scale Spatial Judgment Task."	"2013"	"IEEE Trans. Vis. Comput. Graph."	"19"	"5"	"https://doi.org/10.1109/TVCG.2012.163"	"Eric D. Ragan;Regis Kopper;Philip Schuchardt;Doug A. Bowman"
"journals/tvcg/RaganSBB17"	"Amplified Head Rotation in Virtual Reality and the Effects on 3D Search, Training Transfer, and Spatial Orientation."	"2017"	"IEEE Trans. Vis. Comput. Graph."	"23"	"8"	"https://doi.org/10.1109/TVCG.2016.2601607"	"Eric D. Ragan;Siroberto Scerbo;Felipe Bacim;Doug A. Bowman"
"journals/tvcg/RaghupathiGFMCC04"	"An Intestinal Surgery Simulator: Real-Time Collision Processing and Visualization."	"2004"	"IEEE Trans. Vis. Comput. Graph."	"10"	"6"	"https://doi.org/10.1109/TVCG.2004.36"	"Laks Raghupathi;Laurent Grisoni;François Faure;Damien Marchal;Marie-Paule Cani;Christophe Chaillou"
"journals/tvcg/RaghuvanshiNL09"	"Efficient and Accurate Sound Propagation Using Adaptive Rectangular Decomposition."	"2009"	"IEEE Trans. Vis. Comput. Graph."	"15"	"5"	"https://doi.org/10.1109/TVCG.2009.28"	"Nikunj Raghuvanshi;Rahul Narain;Ming C. Lin"
