Year,Conference,DOI,Award
2011,Vis,10.1109/TVCG.2011.245,BP
2011,VAST,10.1109/VAST.2011.6102443,HM
2011,Vis,10.1109/TVCG.2011.168,HM
2011,InfoVis,10.1109/TVCG.2011.220,HM
2011,VAST,10.1109/VAST.2011.6102440,HM
2010,InfoVis,10.1109/TVCG.2010.179,TT
2010,Vis,10.1109/TVCG.2010.132,TT
2010,VAST,10.1109/VAST.2010.5652443,TT
2010,InfoVis,10.1109/TVCG.2010.144,HM
2010,Vis,10.1109/TVCG.2010.223,HM
2010,InfoVis,10.1109/TVCG.2010.161,BP
2010,InfoVis,10.1109/TVCG.2010.186,HM
2010,VAST,10.1109/VAST.2010.5652880,HM
2010,Vis,10.1109/TVCG.2010.198,BP
2010,InfoVis,10.1109/TVCG.2010.193,HM
2010,Vis,10.1109/TVCG.2010.166,HM
2010,InfoVis,10.1109/TVCG.2010.191,HM
2010,VAST,10.1109/VAST.2010.5652926,BP
2010,VAST,10.1109/VAST.2010.5652478,HM
2010,InfoVis,10.1109/TVCG.2010.180,HM
2009,InfoVis,10.1109/TVCG.2009.111,TT
2009,VAST,10.1109/VAST.2009.5333443,TT
2009,InfoVis,10.1109/TVCG.2009.165,BP
2009,InfoVis,10.1109/TVCG.2009.167,HM
2009,Vis,10.1109/TVCG.2009.138,TT;BP
2009,Vis,10.1109/TVCG.2009.157,HM
2009,InfoVis,10.1109/TVCG.2009.128,HM
2009,InfoVis,10.1109/TVCG.2009.116,BP
2009,InfoVis,10.1109/TVCG.2009.151,HM
2009,Vis,10.1109/TVCG.2009.172,HM
2009,Vis,10.1109/TVCG.2009.166,HM
2009,VAST,10.1109/VAST.2009.5333564,BP
2009,InfoVis,10.1109/TVCG.2009.180,HM
2008,InfoVis,10.1109/TVCG.2008.166,HM
2008,InfoVis,10.1109/TVCG.2008.153,BP
2008,InfoVis,10.1109/TVCG.2008.125,TT
2008,InfoVis,10.1109/TVCG.2008.109,HM
2008,InfoVis,10.1109/TVCG.2008.171,HM
2008,Vis,10.1109/TVCG.2008.128,BP
2008,VAST,10.1109/VAST.2008.4677362,BP
2008,Vis,10.1109/TVCG.2008.142,BA
2007,InfoVis,10.1109/TVCG.2007.70577,TT
2007,VAST,10.1109/VAST.2007.4389006,TT
2007,Vis,10.1109/TVCG.2007.70584,BP
2007,Vis,10.1109/TVCG.2007.70560,BA
2007,InfoVis,10.1109/TVCG.2007.70621,BP
2006,InfoVis,10.1109/TVCG.2006.147,TT;BP
2006,Vis,10.1109/TVCG.2006.115,TT
2006,Vis,10.1109/TVCG.2006.186,BA
2006,VAST,10.1109/VAST.2006.261421,TT
2006,Vis,10.1109/TVCG.2006.168,BP
2005,Vis,10.1109/VISUAL.2005.1532781,TT;BP
2005,InfoVis,10.1109/INFVIS.2005.1532130,BP
2005,Vis,10.1109/VISUAL.2005.1532812,BA
2004,InfoVis,10.1109/INFVIS.2004.10,BP
2004,Vis,10.1109/VISUAL.2004.96,TT
2004,Vis,10.1109/VISUAL.2004.4,BP
2004,Vis,10.1109/VISUAL.2004.98,BA
2003,Vis,10.1109/VISUAL.2003.1250384,TT
2003,InfoVis,10.1109/INFVIS.2003.1249015,TT
2003,InfoVis,10.1109/INFVIS.2003.1249004,BP
2003,Vis,10.1109/VISUAL.2003.1250354,BP
2003,Vis,10.1109/VISUAL.2003.1250423,BA
2002,InfoVis,10.1109/INFVIS.2002.1173141,BP
2002,Vis,10.1109/VISUAL.2002.1183777,BP
2002,Vis,10.1109/VISUAL.2002.1183774,TT
2001,Vis,10.1109/VISUAL.2001.964519,BP
2001,InfoVis,10.1109/INFVIS.2001.963283,TT
2000,InfoVis,10.1109/INFVIS.2000.885086,TT
2000,Vis,10.1109/VISUAL.2000.885694,BP
1999,InfoVis,10.1109/INFVIS.1999.801851,TT
1999,Vis,10.1109/VISUAL.1999.809886,BP
1998,Vis,10.1109/VISUAL.1998.745282,TT
1998,Vis,10.1109/VISUAL.1998.745713,BP
1998,InfoVis,10.1109/INFVIS.1998.729560,TT
1998,Vis,10.1109/VISUAL.1998.745343,BCS
1997,Vis,10.1109/VISUAL.1997.663910,BCS
1997,Vis,10.1109/VISUAL.1997.663882,BP
1997,InfoVis,10.1109/INFVIS.1997.636792,TT
1996,Vis,10.1109/VISUAL.1996.567752,TT
1996,InfoVis,10.1109/INFVIS.1996.559210,TT
1996,Vis,10.1109/VISUAL.1996.568137,BCS
1996,Vis,10.1109/VISUAL.1996.567777,BP
1995,InfoVis,10.1109/INFVIS.1995.528686,TT
1995,Vis,10.1109/VISUAL.1995.485139,TT
1994,Vis,10.1109/VISUAL.1994.346331,TT
1994,Vis,10.1109/VISUAL.1994.346326,BP
1994,Vis,10.1109/VISUAL.1994.346313,BP
1994,Vis,10.1109/VISUAL.1994.346294,BCS
1993,Vis,10.1109/VISUAL.1993.398902,BCS
1993,Vis,10.1109/VISUAL.1993.398878,BP
1993,Vis,10.1109/VISUAL.1993.398877,TT;BP
1992,Vis,10.1109/VISUAL.1992.235193,TT;BP
1991,Vis,10.1109/VISUAL.1991.175771,BP
1990,Vis,10.1109/VISUAL.1990.146359,BP
