vispub_doi,aminer_id,method
10.1109/visual.1995.485140,53e9987eb7602d97020ba634,doi
10.1109/visual.1999.809892,53e99885b7602d97020bfc9a,doi
10.1109/infvis.2004.48,53e9988cb7602d97020c7195,title
10.1109/visual.1996.567796,53e99893b7602d97020ca5a7,doi
10.1109/tvcg.2010.168,53e99893b7602d97020cb7ec,doi
10.1109/infvis.2000.885102,53e99894b7602d97020cf741,doi
10.1109/vast.2009.5333420,53e9989bb7602d97020d164e,doi
10.1109/visual.2002.1183829,53e9989bb7602d97020d5ba0,doi
10.1109/visual.2005.1532810,53e998a2b7602d97020d9cd1,title
10.1109/vast.2010.5652433,53e998a2b7602d97020da32c,doi
10.1109/tvcg.2013.191,53e998a3b7602d97020dd434,doi
10.1109/tvcg.2008.157,53e998a9b7602d97020e3ced,doi
10.1109/infvis.2003.1249025,53e998a9b7602d97020e4079,doi
10.1109/tvcg.2013.183,53e998b0b7602d97020ee1e2,doi
10.1109/visual.1991.175772,53e998bfb7602d97020fa059,doi
10.1109/visual.1990.146368,53e998c8b7602d9702103cfe,doi
10.1109/visual.2002.1183819,53e998cdb7602d9702105442,doi
10.1109/vast.2010.5651617,53e998cdb7602d97021082f5,doi
10.1109/visual.1993.398883,53e998cdb7602d97021080d5,doi
10.1109/tvcg.2012.284,53e998ceb7602d970210aed8,doi
10.1109/tvcg.2008.169,53e998dbb7602d9702114d43,doi
10.1109/visual.2005.1532851,53e998dbb7602d9702116cc9,title
10.1109/infvis.2002.1173149,53e998dbb7602d9702117a02,doi
10.1109/visual.1992.235221,53e998e8b7602d9702125d99,doi
10.1109/visual.2004.34,53e998e9b7602d9702127618,doi
10.1109/visual.1997.663876,53e998efb7602d9702129c60,title
10.1109/vast.2010.5652958,53e998f0b7602d970212bcae,doi
10.1109/tvcg.2007.70600,53e998f0b7602d970212f98e,doi
10.1109/visual.2001.964553,53e998f6b7602d9702130527,doi
10.1109/visual.2005.1532795,53e998fcb7602d970213895c,title
10.1109/tvcg.2006.172,53e99905b7602d97021406bb,doi
10.1109/vast.2010.5652895,53e99905b7602d9702142d11,doi
10.1109/vast.2009.5333436,53e99915b7602d970214da1b,doi
10.1109/tvcg.2012.283,53e99915b7602d970214de14,doi
10.1109/vast.2010.5654451,53e99915b7602d970214e412,doi
10.1109/infvis.2004.56,53e99915b7602d970215311d,title
10.1109/tvcg.2009.197,53e9991cb7602d9702159af7,doi
10.1109/tvcg.2007.70570,53e99924b7602d970215eda4,doi
10.1109/visual.1998.745311,53e9992ab7602d9702165997,title
10.1109/visual.1992.235196,53e9992bb7602d9702166251,doi
10.1109/visual.1997.663909,53e9992bb7602d97021679b5,title
10.1109/visual.1995.480803,53e99931b7602d970216fa18,doi
10.1109/visual.2000.885684,53e99938b7602d9702176b95,title
10.1109/visual.1998.745310,53e99940b7602d970217f8ee,title
10.1109/visual.2005.1532770,53e99945b7602d97021817a1,title
10.1109/tvcg.2010.126,53e99946b7602d9702183ec3,doi
10.1109/visual.2003.1250400,53e99953b7602d97021927c7,doi
10.1109/tvcg.2011.163,53e99953b7602d9702195f19,doi
10.1109/visual.2002.1183764,53e99960b7602d970219eb19,doi
10.1109/tvcg.2013.168,53e99960b7602d97021a3ff7,doi
10.1109/visual.2001.964508,53e99976b7602d97021b5295,doi
10.1109/visual.1992.235201,53e99976b7602d97021b86a0,doi
10.1109/visual.2003.1250408,53e9997db7602d97021bb753,doi
10.1109/tvcg.2010.207,53e9997eb7602d97021bf39b,doi
10.1109/tvcg.2011.169,53e9997eb7602d97021c18fa,doi
10.1109/infvis.2004.23,53e99984b7602d97021c2ba7,title
