vispub_doi,aminer_id,method
10.1109/tvcg.2022.3209453,633eb80190e50fcafdce8fdb,doi
10.1109/tvcg.2006.116,53909a9320f70186a0e21aaf,doi
10.1109/tvcg.2012.211,53e9a281b7602d9702b89656,doi
10.1109/visual.1994.346331,53e9a301b7602d9702c0eee3,doi
10.1109/tvcg.2022.3209420,633d610d90e50fcafd1d89a7,doi
10.1109/visual.1997.663897,539087e620f70186a0d67582,doi
10.1109/visual.1992.235198,539087f320f70186a0d6ec0a,doi
10.1109/visual.2000.885685,5390881220f70186a0d7e16f,doi
10.1109/tvcg.2016.2598468,58437713ac44360f1082cbe6,doi
10.1109/visual.1998.745353,539087eb20f70186a0d6c118,doi
10.1109/infvis.1996.559226,53908cde20f70186a0dcd86f,doi
10.1109/tvcg.2006.188,53909a9320f70186a0e21a8b,doi
10.1109/vast.2011.6102440,5390bd1520f70186a0f446a8,doi
10.1109/vast.2015.7347633,573697316e3b12023e62164f,doi
10.1109/tvcg.2024.3456367,66a8498901d2a3fbfc0843aa,doi
10.1109/tvcg.2014.2352952,55503f9045ce0a409eb2ec09,doi
10.1109/visual.2002.1183791,539089ab20f70186a0d96b51,doi
10.1109/vast.2008.4677364,558b0bfee4b037c0875ab4e4,doi
10.1109/infvis.1998.729565,53908af920f70186a0db0743,doi
10.1109/tvcg.2013.180,5390be6620f70186a0f4bbb2,doi
10.1109/vast.2006.261439,558acdace4b0b32fcb38f4b5,doi
10.1109/scivis.2015.7429507,573698876e3b12023e746196,doi
10.1109/tvcg.2021.3114848,61962ea95244ab9dcb857c4e,doi
10.1109/tvcg.2011.178,5390b20120f70186a0ee5081,doi
10.1109/visual.1991.175830,53e9b95bb7602d97045447b4,doi
10.1109/vast.2008.4677394,558b0c01e4b037c0875ab4fb,doi
10.1109/tvcg.2015.2467294,5687e7a70cf2afdcd166001a,doi
10.1109/visual.1998.745283,558a870de4b0b32fcb375840,doi
10.1109/visual.1999.809917,539087f820f70186a0d72a7a,doi
10.1109/tvcg.2007.70596,53909f8c20f70186a0e3f789,doi
10.1109/tvcg.2008.165,5390a28020f70186a0e62bbe,doi
10.1109/tvcg.2009.121,5390a6d920f70186a0e87db4,doi
10.1109/tvcg.2010.174,5390ada620f70186a0ec24b2,doi
10.1109/vast.2010.5652478,558c8ff184ae6766fdf3c6c6,doi
10.1109/tvcg.2020.3030421,5f2140ec91e011f62007afd9,doi
10.1109/tvcg.2024.3456363,6698789301d2a3fbfc542f16,doi
10.1109/visual.1997.663857,539087e620f70186a0d67540,doi
10.1109/visual.1998.745287,539087eb20f70186a0d6c09a,doi
10.1109/tvcg.2006.154,53909a9320f70186a0e21ad9,doi
10.1109/tvcg.2011.230,5390b20120f70186a0ee506b,doi
10.1109/tvcg.2018.2864814,5c0f88edda562944ac981683,doi
10.1109/tvcg.2006.113,53909a9320f70186a0e21aa0,doi
10.1109/vast.2010.5652433,53e998a2b7602d97020da32c,doi
