doi,author,gender,position,position.rank
10.1109/INFVIS.1999.801861,Ken-ichi Okada,male,2,M
10.1109/INFVIS.1999.801861,Yutaka Matsushita,male,3,L
10.1109/INFVIS.1999.801862,Mark Derthick,male,1,F
10.1109/INFVIS.1999.801862,James Harrison,male,2,M
10.1109/INFVIS.1999.801862,Andrew Moore,male,3,M
10.1109/INFVIS.1999.801862,Steven F. Roth,male,4,L
10.1109/INFVIS.1999.801863,James K. Rayson,male,1,F
10.1109/INFVIS.1999.801864,Michael Higgins,male,1,F
10.1109/INFVIS.1999.801864,Peter Lucas 0002,male,2,M
10.1109/INFVIS.1999.801864,Jeffrey Senn,male,3,L
10.1109/INFVIS.1999.801865,Alfred Inselberg,male,1,F
10.1109/INFVIS.1999.801865,Tova Avidan,female,2,L
10.1109/INFVIS.1999.801866,Pak Chung Wong,male,1,F
10.1109/INFVIS.1999.801866,Paul Whitney,male,2,M
10.1109/INFVIS.1999.801866,James J. Thomas,male,3,L
10.1109/INFVIS.1999.801867,Ming C. Hao,female,1,F
10.1109/INFVIS.1999.801867,Umeshwar Dayal,male,2,M
10.1109/INFVIS.1999.801867,Meichun Hsu,female,3,M
10.1109/INFVIS.1999.801867,Jim Baker,male,4,M
10.1109/INFVIS.1999.801867,Bob Deletto,male,5,L
10.1109/INFVIS.1999.801868,Stuart J. Rose,male,1,F
10.1109/INFVIS.1999.801869,Tamara Munzner,female,1,F
10.1109/INFVIS.1999.801869,François Guimbretière,male,2,M
10.1109/INFVIS.1999.801869,George G. Robertson,male,3,L
10.1109/INFVIS.2000.885086,Chris Stolte,male,1,F
10.1109/INFVIS.2000.885086,Pat Hanrahan,male,2,L
10.1109/INFVIS.2000.885087,Christopher Olston,male,1,F
10.1109/INFVIS.2000.885087,Allison Woodruff,female,2,L
10.1109/INFVIS.2000.885088,Matthias Kreuseler,male,1,F
10.1109/INFVIS.2000.885088,Norma López,female,2,M
10.1109/INFVIS.2000.885088,Heidrun Schumann,female,3,L
10.1109/INFVIS.2000.885089,James Abello,male,1,F
10.1109/INFVIS.2000.885089,Jeffrey L. Korn,male,2,L
10.1109/INFVIS.2000.885090,Ivan Herman,male,1,F
10.1109/INFVIS.2000.885090,M. Scott Marshall,male,2,M
10.1109/INFVIS.2000.885090,Guy Melançon,male,3,L
10.1109/INFVIS.2000.885091,John T. Stasko,male,1,F
10.1109/INFVIS.2000.885091,Eugene Zhang,male,2,L
10.1109/INFVIS.2000.885092,Ed H. Chi,male,1,F
10.1109/INFVIS.2000.885093,Issei Fujishiro,male,1,F
10.1109/INFVIS.2000.885093,Rika Furuhata,female,2,M
10.1109/INFVIS.2000.885093,Yoshihiko Ichikawa,male,3,M
10.1109/INFVIS.2000.885093,Yuriko Takeshima,female,4,L
10.1109/INFVIS.2000.885094,Staffan Björk,male,1,F
10.1109/INFVIS.2000.885094,Johan Redström,male,2,L
10.1109/INFVIS.2000.885095,André Skupin,male,1,F
10.1109/INFVIS.2000.885096,Julie Yang-Peláez,female,1,F
10.1109/INFVIS.2000.885096,Woodie Flowers,male,2,L
10.1109/INFVIS.2000.885097,Pak Chung Wong,male,1,F
10.1109/INFVIS.2000.885097,Wendy Cowley,female,2,M
10.1109/INFVIS.2000.885097,Harlan Foote,male,3,M
10.1109/INFVIS.2000.885097,Elizabeth Jurrus,female,4,M
10.1109/INFVIS.2000.885097,James J. Thomas,male,5,L
10.1109/INFVIS.2000.885098,Susan L. Havre,female,1,F
10.1109/INFVIS.2000.885098,Elizabeth G. Hetzler,female,2,M
