,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
1913,10.1109/TVCG.2009.145,Stéphane Conversy,3,L,"ENAC and IRIT IHCS, France","French Civil Aviation University (ENAC) in Toulouse, France",France
1914,10.1109/TVCG.2009.145,Stéphane Conversy,3,L,"ENAC and IRIT IHCS, France","Institut de Recherche en Informatique de Toulouse (IRIT), France",France
1915,10.1109/TVCG.2009.146,Bo Hyoung Kim,1,F,"Seoul National University, South Korea","Seoul National University, Seoul, South Korea",South Korea
1916,10.1109/TVCG.2009.146,Bongshin Lee,2,M,"Microsoft Research Limited, USA","Microsoft Research, USA",USA
1917,10.1109/TVCG.2009.146,Susan Knoblach,3,M,"Children''s Hospital National Medical Center, USA","Children's National Medical Center, USA",USA
1918,10.1109/TVCG.2009.146,Eric P. Hoffman,4,M,"Children''s Hospital National Medical Center, USA","Children's National Medical Center, USA",USA
1919,10.1109/TVCG.2009.146,Jinwook Seo,5,L,"Seoul National University, South Korea","Seoul National University, Seoul, South Korea",South Korea
1920,10.1109/TVCG.2009.147,Alan Chu,1,F,"Chinese University of Hong Kong, Hong Kong, China","Chinese University of Hong Kong, China",China
1921,10.1109/TVCG.2009.147,Chi-Wing Fu,2,M,"Nanyang Technological University, Singapore, Singapore","Nanyang Technological University, Singapore",Singapore
1922,10.1109/TVCG.2009.147,Andrew J. Hanson,3,M,"Indiana University, Bloomington, USA","University of Indiana, Bloomington, USA",USA
1923,10.1109/TVCG.2009.147,Pheng-Ann Heng,4,L,"Chinese University of Hong Kong, Hong Kong, China","Chinese University of Hong Kong, China",China
1924,10.1109/TVCG.2009.148,Matt McKeon,1,F,"IBM Research, USA","IBM Research, USA",USA
1925,10.1109/TVCG.2009.149,Stéphane Marchesin,1,F,"CEA, DAM, DIF, Arpajon, France",,
1926,10.1109/TVCG.2009.149,Guillaume Colin de Verdière,2,L,"CEA, DAM, DIF, Arpajon, France",,
1927,10.1109/TVCG.2009.150,Johnson Chuang,1,F,"GrUVi (Graphics, Usability and Viswalization Lab), Simon Fraser University, Burnaby, Canada","Simon Fraser University, Canada",Canada
