Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation
10.1109/tvcg.2024.3456510,,5,M,
10.1109/tvcg.2024.3456510,,6,M,
10.1109/tvcg.2024.3456510,,7,M,
10.1109/tvcg.2024.3456510,,8,M,
10.1109/tvcg.2024.3456510,,9,M,
10.1109/tvcg.2024.3456510,,10,M,
10.1109/tvcg.2024.3456510,,11,M,
10.1109/tvcg.2024.3456510,,12,M,
10.1109/tvcg.2024.3456510,,13,M,
10.1109/tvcg.2024.3456510,,14,M,
10.1109/tvcg.2024.3456510,,15,M,
10.1109/tvcg.2024.3456510,,16,M,
10.1109/tvcg.2024.3456510,,17,M,
10.1109/tvcg.2024.3456510,,18,M,
10.1109/tvcg.2024.3456510,,19,M,
10.1109/tvcg.2024.3456510,,20,M,
10.1109/tvcg.2024.3456510,,21,L,
10.1109/tvcg.2024.3456407,Hannah K. Bako,1,F,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Xinyi Liu 0001,2,M,"University of Texas, USA"
10.1109/tvcg.2024.3456407,Grace Ko,3,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Hyemi Song,4,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Leilani Battle,5,M,"University of Washington, USA"
10.1109/tvcg.2024.3456407,Zhicheng Liu 0001,6,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,,7,M,
10.1109/tvcg.2024.3456407,,8,M,
10.1109/tvcg.2024.3456407,,9,M,
10.1109/tvcg.2024.3456407,,10,M,
10.1109/tvcg.2024.3456407,,11,M,
10.1109/tvcg.2024.3456407,,12,M,
10.1109/tvcg.2024.3456407,,13,M,
10.1109/tvcg.2024.3456407,,14,M,
10.1109/tvcg.2024.3456407,,15,M,
10.1109/tvcg.2024.3456407,,16,M,
10.1109/tvcg.2024.3456407,,17,M,
10.1109/tvcg.2024.3456407,,18,M,
10.1109/tvcg.2024.3456407,,19,M,
10.1109/tvcg.2024.3456407,,20,M,
10.1109/tvcg.2024.3456407,,21,L,
10.1109/tvcg.2024.3456406,Eric Mörth,1,F,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456406,Kevin Sidak,2,M,"Doctoral School of Computer Science at the University of Vienna, Austria"
10.1109/tvcg.2024.3456406,Zoltan Maliga,3,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456406,Torsten Möller,4,M,"Faculty of Computer Science and the Research Network Data Science at the University of Vienna, Austria"
10.1109/tvcg.2024.3456406,Nils Gehlenborg,5,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456406,Peter K. Sorger,6,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456406,Hanspeter Pfister,7,M,"Harvard University, USA"
10.1109/tvcg.2024.3456406,Johanna Beyer,8,M,"Harvard University, USA"
10.1109/tvcg.2024.3456406,Robert Krüger,9,M,"New York University (NYU), USA"
10.1109/tvcg.2024.3456406,,10,M,
10.1109/tvcg.2024.3456406,,11,M,
10.1109/tvcg.2024.3456406,,12,M,
10.1109/tvcg.2024.3456406,,13,M,
10.1109/tvcg.2024.3456406,,14,M,
10.1109/tvcg.2024.3456406,,15,M,
10.1109/tvcg.2024.3456406,,16,M,
10.1109/tvcg.2024.3456406,,17,M,
10.1109/tvcg.2024.3456406,,18,M,
10.1109/tvcg.2024.3456406,,19,M,
10.1109/tvcg.2024.3456406,,20,M,
10.1109/tvcg.2024.3456406,,21,L,
10.1109/tvcg.2024.3456405,Songwen Hu,1,F,"Georgia Tech., USA"
10.1109/tvcg.2024.3456405,Ouxun Jiang,2,M,"Northwestern University, USA"
10.1109/tvcg.2024.3456405,Jeffrey Riedmiller,3,M,"Dolby Laboratories, USA"
10.1109/tvcg.2024.3456405,Cindy Xiong Bearfield,4,M,"Georgia Tech., USA"
10.1109/tvcg.2024.3456405,,5,M,
10.1109/tvcg.2024.3456405,,6,M,
10.1109/tvcg.2024.3456405,,7,M,
10.1109/tvcg.2024.3456405,,8,M,
10.1109/tvcg.2024.3456405,,9,M,
10.1109/tvcg.2024.3456405,,10,M,
10.1109/tvcg.2024.3456405,,11,M,
10.1109/tvcg.2024.3456405,,12,M,
10.1109/tvcg.2024.3456405,,13,M,
10.1109/tvcg.2024.3456405,,14,M,
10.1109/tvcg.2024.3456405,,15,M,
10.1109/tvcg.2024.3456405,,16,M,
10.1109/tvcg.2024.3456405,,17,M,
10.1109/tvcg.2024.3456405,,18,M,
10.1109/tvcg.2024.3456405,,19,M,
10.1109/tvcg.2024.3456405,,20,M,
10.1109/tvcg.2024.3456405,,21,L,
10.1109/tvcg.2024.3456404,Deng Luo,1,F,"Visual Computing Center at King Abdullah University of Science and Technology (KAUST), Saudi Arabia"
10.1109/tvcg.2024.3456404,Zainab Alsuwaykit,2,M,"Visual Computing Center at King Abdullah University of Science and Technology (KAUST), Saudi Arabia"
10.1109/tvcg.2024.3456404,Dawar Khan,3,M,"Visual Computing Center at King Abdullah University of Science and Technology (KAUST), Saudi Arabia"
10.1109/tvcg.2024.3456404,Ondrej Strnad,4,M,"Visual Computing Center at King Abdullah University of Science and Technology (KAUST), Saudi Arabia"
10.1109/tvcg.2024.3456404,Tobias Isenberg 0001,5,M,"Université Paris-Saclay, CNRS, Inria, LISN, France"
10.1109/tvcg.2024.3456404,Ivan Viola,6,M,"Visual Computing Center at King Abdullah University of Science and Technology (KAUST), Saudi Arabia"
10.1109/tvcg.2024.3456404,,7,M,
10.1109/tvcg.2024.3456404,,8,M,
10.1109/tvcg.2024.3456404,,9,M,
10.1109/tvcg.2024.3456404,,10,M,
10.1109/tvcg.2024.3456404,,11,M,
10.1109/tvcg.2024.3456404,,12,M,
10.1109/tvcg.2024.3456404,,13,M,
10.1109/tvcg.2024.3456404,,14,M,
10.1109/tvcg.2024.3456404,,15,M,
10.1109/tvcg.2024.3456404,,16,M,
10.1109/tvcg.2024.3456404,,17,M,
10.1109/tvcg.2024.3456404,,18,M,
10.1109/tvcg.2024.3456404,,19,M,
10.1109/tvcg.2024.3456404,,20,M,
10.1109/tvcg.2024.3456404,,21,L,
10.1109/tvcg.2024.3456403,Yongfeng Ji,1,F,"University of Victoria, Canada"
10.1109/tvcg.2024.3456403,Charles Perin,2,M,"University of Victoria, Canada"
10.1109/tvcg.2024.3456403,Miguel A. Nacenta,3,M,"University of Victoria, Canada"
10.1109/tvcg.2024.3456403,,4,M,
10.1109/tvcg.2024.3456403,,5,M,
10.1109/tvcg.2024.3456403,,6,M,
10.1109/tvcg.2024.3456403,,7,M,
10.1109/tvcg.2024.3456403,,8,M,
10.1109/tvcg.2024.3456403,,9,M,
10.1109/tvcg.2024.3456403,,10,M,
10.1109/tvcg.2024.3456403,,11,M,
10.1109/tvcg.2024.3456403,,12,M,
10.1109/tvcg.2024.3456403,,13,M,
10.1109/tvcg.2024.3456403,,14,M,
10.1109/tvcg.2024.3456403,,15,M,
10.1109/tvcg.2024.3456403,,16,M,
10.1109/tvcg.2024.3456403,,17,M,
10.1109/tvcg.2024.3456403,,18,M,
10.1109/tvcg.2024.3456403,,19,M,
10.1109/tvcg.2024.3456403,,20,M,
10.1109/tvcg.2024.3456403,,21,L,
10.1109/tvcg.2024.3456402,Ziyang Guo,1,F,"Northwestern University, USA"
10.1109/tvcg.2024.3456402,Alex Kale,2,M,"University of Chicago, USA"
10.1109/tvcg.2024.3456402,Matthew Kay 0001,3,M,"Northwestern University, USA"
10.1109/tvcg.2024.3456402,Jessica Hullman,4,M,"Northwestern University, USA"
10.1109/tvcg.2024.3456402,,5,M,
10.1109/tvcg.2024.3456402,,6,M,
10.1109/tvcg.2024.3456402,,7,M,
10.1109/tvcg.2024.3456402,,8,M,
10.1109/tvcg.2024.3456402,,9,M,
10.1109/tvcg.2024.3456402,,10,M,
10.1109/tvcg.2024.3456402,,11,M,
10.1109/tvcg.2024.3456402,,12,M,
10.1109/tvcg.2024.3456402,,13,M,
10.1109/tvcg.2024.3456402,,14,M,
10.1109/tvcg.2024.3456402,,15,M,
10.1109/tvcg.2024.3456402,,16,M,
10.1109/tvcg.2024.3456402,,17,M,
10.1109/tvcg.2024.3456402,,18,M,
10.1109/tvcg.2024.3456402,,19,M,
10.1109/tvcg.2024.3456402,,20,M,
10.1109/tvcg.2024.3456402,,21,L,
