Paper DOI,Author Names
10.1109/tvcg.2016.2615308,Steffen Koch 0001
10.1109/tvcg.2016.2615308,Tobias Isenberg 0001
10.1109/tvcg.2016.2615308,Panpan Xu
10.1109/tvcg.2016.2615308,Charles D. Stolper
10.1109/tvcg.2016.2615308,Michael Sedlmair
10.1109/tvcg.2016.2615308,Jian Chen 0006
10.1109/tvcg.2016.2615308,Torsten Möller
10.1109/tvcg.2016.2615308,John T. Stasko
10.1109/tvcg.2016.2616404,Gennady L. Andrienko
10.1109/tvcg.2016.2616404,Natalia V. Andrienko
10.1109/tvcg.2016.2616404,Georg Fuchs
10.1109/tvcg.2016.2616404,Jo Wood
10.1109/tvcg.2016.2549018,Johannes Fuchs 0001
10.1109/tvcg.2016.2549018,Petra Isenberg
10.1109/tvcg.2016.2549018,Anastasia Bezerianos
10.1109/tvcg.2016.2549018,Daniel A. Keim
10.1109/tvcg.2016.2539960,Fan Du
10.1109/tvcg.2016.2539960,Ben Shneiderman
10.1109/tvcg.2016.2539960,Catherine Plaisant
10.1109/tvcg.2016.2539960,Sana Malik
10.1109/tvcg.2016.2539960,Adam Perer
10.1109/tvcg.2014.2350494,Zhiyuan Zhang 0006
10.1109/tvcg.2014.2350494,Kevin T. McDonnell
10.1109/tvcg.2014.2350494,Erez Zadok
10.1109/tvcg.2014.2350494,Klaus Mueller 0001
10.1109/tvcg.2016.2610422,Paolo Federico 0001
10.1109/tvcg.2016.2610422,Florian Heimerl
10.1109/tvcg.2016.2610422,Steffen Koch 0001
10.1109/tvcg.2016.2610422,Silvia Miksch
10.1109/tvcg.2015.2440259,Giusy Di Lorenzo
10.1109/tvcg.2015.2440259,Marco Luca Sbodio
10.1109/tvcg.2015.2440259,Francesco Calabrese
10.1109/tvcg.2015.2440259,Michele Berlingerio
10.1109/tvcg.2015.2440259,Fabio Pinelli
10.1109/tvcg.2015.2440259,Rahul Nair
10.1109/tvcg.2015.2505305,Qing Chen 0001
10.1109/tvcg.2015.2505305,Yuanzhe Chen
10.1109/tvcg.2015.2505305,Dongyu Liu
10.1109/tvcg.2015.2505305,Conglei Shi
10.1109/tvcg.2015.2505305,Yingcai Wu
10.1109/tvcg.2015.2505305,Huamin Qu
10.1109/tvcg.2015.2392771,Yuzuru Tanahashi
10.1109/tvcg.2015.2392771,Chien-Hsin Hsueh
10.1109/tvcg.2015.2392771,Kwan-Liu Ma
10.1109/tvcg.2016.2607204,Le Liu 0007
10.1109/tvcg.2016.2607204,Alexander P. Boone
10.1109/tvcg.2016.2607204,Ian T. Ruginski
10.1109/tvcg.2016.2607204,Lace M. K. Padilla
10.1109/tvcg.2016.2607204,Mary Hegarty
10.1109/tvcg.2016.2607204,Sarah H. Creem-Regehr
10.1109/tvcg.2016.2607204,William B. Thompson
10.1109/tvcg.2016.2607204,Cem Yuksel
10.1109/tvcg.2016.2607204,Donald H. House
10.1109/tvcg.2014.2329308,Fereshteh Amini
10.1109/tvcg.2014.2329308,Sébastien Rufiange
10.1109/tvcg.2014.2329308,Zahid Hossain 0002
10.1109/tvcg.2014.2329308,Quentin Ventura
10.1109/tvcg.2014.2329308,Pourang Irani
10.1109/tvcg.2014.2329308,Michael J. McGuffin
10.1109/tvcg.2014.2331979,Jose Gustavo Paiva
10.1109/tvcg.2014.2331979,William Robson Schwartz
10.1109/tvcg.2014.2331979,Hélio Pedrini
10.1109/tvcg.2014.2331979,Rosane Minghim
10.1109/tvcg.2016.2535234,Guodao Sun
10.1109/tvcg.2016.2535234,Ronghua Liang
10.1109/tvcg.2016.2535234,Huamin Qu
10.1109/tvcg.2016.2535234,Yingcai Wu
10.1109/tvcg.2014.2315995,Radu Jianu
10.1109/tvcg.2014.2315995,Adrian Rusu
10.1109/tvcg.2014.2315995,Yifan Hu 0001
10.1109/tvcg.2014.2315995,Douglas Taggart
10.1109/tvcg.2014.2330617,Ronak Etemadpour
10.1109/tvcg.2014.2330617,Robson Motta
10.1109/tvcg.2014.2330617,Jose Gustavo de Souza Paiva
10.1109/tvcg.2014.2330617,Rosane Minghim
10.1109/tvcg.2014.2330617,Maria Cristina Ferreira de Oliveira
10.1109/tvcg.2014.2330617,Lars Linsen
10.1109/tvcg.2015.2413786,Puripant Ruchikachorn
10.1109/tvcg.2015.2413786,Klaus Mueller 0001
10.1109/tvcg.2013.2297914,Steffen Oeltze
10.1109/tvcg.2013.2297914,Dirk J. Lehmann
10.1109/tvcg.2013.2297914,Alexander Kuhn
10.1109/tvcg.2013.2297914,Gábor Janiga
10.1109/tvcg.2013.2297914,Holger Theisel
10.1109/tvcg.2013.2297914,Bernhard Preim
10.1109/mcg.2016.102,Manuel Stein
