Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation,Country
10.1109/tvcg.2017.2744898,Shamkant B. Navathe,7,M,,
10.1109/tvcg.2017.2744898,Duen Horng Chau,8,L,,
10.1109/tvcg.2017.2744118,Hyejin Im,3,M,Independent scholar,
10.1109/tvcg.2017.2744038,Lawrence Roy,1,F,Roy Family Homeschool,
10.1109/tvcg.2015.2467971,Derek Xiaoyu Wang,3,M,,
10.1109/tvcg.2015.2467971,Eric Sauda,4,M,,
10.1109/tvcg.2015.2467971,William Ribarsky,5,L,,
10.1109/tvcg.2015.2467831,Dominikus Baur,2,M,An Independent Researcher,
10.1109/tvcg.2015.2467551,Alex Endert,2,M,Georgia Tech,
10.1109/tvcg.2014.2346249,Ramik Sadana,1,F,Georgia Tech.,
10.1109/tvcg.2014.2346249,Timothy Major,2,M,Georgia Tech.,
10.1109/tvcg.2014.2346249,Alistair D. M. Dove,3,M,Georgia Aquarium,
10.1109/tvcg.2014.2346249,John T. Stasko,4,L,Georgia Tech.,
10.1109/tvcg.2013.210,Guia Gali,3,L,independant graphic designer and researcher,
10.1109/tvcg.2008.127,Holly Schmidt,2,M,,
10.1109/tvcg.2007.70557,Heike Jänicke,4,M,,
10.1109/tvcg.2006.182,Vadim A. Slavin,1,F,,
10.1109/tvcg.2006.182,Robert Pelcovits,2,M,,
10.1109/tvcg.2006.182,George Loriot,3,M,,
10.1109/tvcg.2006.182,Andrew Callan-Jones,4,M,,
10.1109/tvcg.2006.182,David H. Laidlaw,5,L,,
10.1109/scivis.2015.7429489,Christian Schulte zu Berge,1,F,,
10.1109/scivis.2015.7429489,Denis Declara,2,M,,
10.1109/scivis.2015.7429489,Christoph Hennersperger,3,M,,
10.1109/scivis.2015.7429489,Maximilian Baust,4,M,,
10.1109/scivis.2015.7429489,Nassir Navab,5,L,,
10.1109/infvis.2004.37,Alan Turner,9,M,,
10.1109/infvis.2003.1249000,Tamara Munzner,1,F,,
10.1109/infvis.2003.1249000,Steven C. North,2,L,,
10.1109/infvis.1999.801864,Jeffrey Senn,3,L,,
10.1109/infvis.1997.636786,Edward L. Robertson,2,L,,
10.1109/infvis.1996.559210,John A. Kolojechick,7,M,,
10.0000/00000001,Randy L. Ribler,1,F,,
10.0000/00000001,Marc Abrams,2,L,,
