Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
1990,10.1109/VISUAL.1990.146402,Bernard Dimsdale,"IBM Research, USA",USA
1990,10.1109/VISUAL.1990.146403,Dieter Lasser,"University of Kaiserslautern, Germany",Germany
1990,10.1109/VISUAL.1990.146412,Gerald W. Edgar,"Boeing Computer Services, Seattle, WA, USA",USA
1990,10.1109/VISUAL.1990.146413,Stephen L. Senft,"Washington University, St. Louis, USA",USA
1990,10.1109/VISUAL.1990.146413,Vincent J. Argio,,
1990,10.1109/VISUAL.1990.146413,William L. van Zandt,,
1990,10.1109/VISUAL.1990.146414,Laurin Herr,"Pacific Interface, New York, NY, USA",USA
1990,10.1109/VISUAL.1990.146415,Wayne E. Fordyce,"Research Computer Services, Syracuse University, NY, USA",USA
1990,10.1109/VISUAL.1990.146415,Jeffrey Ventrella,"Research Computer Services, Syracuse University, NY, USA",USA
1990,10.1109/VISUAL.1990.146416,Steve M. Legensky,,
1990,10.1109/VISUAL.1990.146417,David A. Prawel,"Precision Visuals Inc., Boulder, CO, USA",USA
1990,10.1109/VISUAL.1990.146418,Quentin E. Dolecek,"Johns Hopkins University, USA",USA
1990,10.1109/VISUAL.1990.146418,K. Moorjani,"Johns Hopkins University, USA",USA
1990,10.1109/VISUAL.1990.146418,B. F. Kim,"Johns Hopkins University, USA",USA
1990,10.1109/VISUAL.1990.146418,D. G. Tilley,"Johns Hopkins University, USA",USA
1990,10.1109/VISUAL.1990.146418,Thomas S. Denney Jr.,"Johns Hopkins University, USA",USA
1990,10.1109/VISUAL.1990.146419,Brian K. Christensen,"Sandia National Laboratories, USA",USA
1990,10.1109/VISUAL.1990.146419,Lisa M. Desjarlais,"Sandia National Laboratories, USA",USA
1991,10.1109/VISUAL.1991.175767,Larry L. Smarr,"Nato Centre for Supercomput. Appls., Champaign, IL, USA",USA
1991,10.1109/VISUAL.1991.175770,Deborah Silver,"Rutgers University, USA",USA
1991,10.1109/VISUAL.1991.175770,M. Gao,"Rutgers University, USA",USA
1991,10.1109/VISUAL.1991.175770,Norman J. Zabusky,"Rutgers University, USA",USA
1991,10.1109/VISUAL.1991.175771,Steve Bryson,"NASA, USA",USA
1991,10.1109/VISUAL.1991.175771,Creon Levit,"NASA, USA",USA
1991,10.1109/VISUAL.1991.175772,Paul Gene Swann,"University of Colorado, Colorado Springs, USA",USA
1991,10.1109/VISUAL.1991.175772,Sudhanshu Kumar Semwal,"University of Colorado, Colorado Springs, USA",USA
1991,10.1109/VISUAL.1991.175773,Al Globus,,
1991,10.1109/VISUAL.1991.175773,Creon Levit,,
1991,10.1109/VISUAL.1991.175773,T. Lasinski,,
1991,10.1109/VISUAL.1991.175776,H. W. Park,"University of Washington, USA",USA
1991,10.1109/VISUAL.1991.175776,K. S. Eo,,
1991,10.1109/VISUAL.1991.175776,D. L. Kim,,
1991,10.1109/VISUAL.1991.175776,B. K. Choi,,
1991,10.1109/VISUAL.1991.175776,Yongmin Kim 0001,,
1991,10.1109/VISUAL.1991.175776,T. Alexander,,
1991,10.1109/VISUAL.1991.175777,Peter Schröder,"Thinking Machines Corp., Cambridge, MA, USA",USA
1991,10.1109/VISUAL.1991.175777,James B. Salem,"Thinking Machines Corp., Cambridge, MA, USA",USA
1991,10.1109/VISUAL.1991.175778,Terry S. Yoo,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,Ulrich Neumann,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,Henry Fuchs,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,Stephen M. Pizer,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,Tim J. Cullip,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,John Rhoades,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175778,Ross T. Whitaker,"University of North Carolina, Chapel Hill, USA",USA
1991,10.1109/VISUAL.1991.175780,Richard S. Gallagher,"Swanson Analysis Systems Inc., Houston, PA, USA",USA
1991,10.1109/VISUAL.1991.175781,David Watson,"IBM European Visualization Centre, UK",UK
1991,10.1109/VISUAL.1991.175781,Jakub Wejchert,"IBM European Visualization Centre, UK",UK
1991,10.1109/VISUAL.1991.175781,David W. Williams,"IBM European Visualization Centre, UK",UK
1991,10.1109/VISUAL.1991.175781,Bri M. Collins,"IBM European Visualization Centre, UK",UK
1991,10.1109/VISUAL.1991.175782,Gregory M. Nielson,"Arizona State University, Tempe, AZ, USA",USA
1991,10.1109/VISUAL.1991.175782,Bernd Hamann,"Arizona State University, Tempe, AZ, USA",USA
1991,10.1109/VISUAL.1991.175784,Lawrence J. Rosenblum,"Naval Research Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175784,Behzad Kamgar-Parsi,"Naval Research Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175784,Edward O. Belcher,,
1991,10.1109/VISUAL.1991.175784,Ola Engelsen,,
1991,10.1109/VISUAL.1991.175785,Nelson L. Max,"University of California, Davis, USA",USA
1991,10.1109/VISUAL.1991.175786,Robert H. Wolfe,"IBM Research, USA",USA
1991,10.1109/VISUAL.1991.175786,Mark Needels,"IBM Research, USA",USA
1991,10.1109/VISUAL.1991.175786,John D. Joannopoulos,,
1991,10.1109/VISUAL.1991.175787,William E. Lorensen,"General Electric Corporation Research & Dev. Center, NY, USA",USA
1991,10.1109/VISUAL.1991.175787,Boris Yamrom,"General Electric Corporation Research & Dev. Center, NY, USA",USA
1991,10.1109/VISUAL.1991.175789,William J. Schroeder,"General Electric Corporation Research & Dev. Center, NY, USA",USA
1991,10.1109/VISUAL.1991.175789,Christopher R. Volpe,"General Electric Corporation Research & Dev. Center, NY, USA",USA
1991,10.1109/VISUAL.1991.175789,William E. Lorensen,"General Electric Corporation Research & Dev. Center, NY, USA",USA
1991,10.1109/VISUAL.1991.175790,Bowen Alpern,"IBM Research, USA",USA
1991,10.1109/VISUAL.1991.175790,Larry Carter,"IBM Research, USA",USA
1991,10.1109/VISUAL.1991.175791,W. R. Feeney,"San Diego State University, San Diego, CA, USA",USA
1991,10.1109/VISUAL.1991.175792,R. Victor Klassen,"Xerox Webster Research Center, Webster, NY, USA",USA
1991,10.1109/VISUAL.1991.175792,Steven J. Harrington,"Xerox Webster Research Center, Webster, NY, USA",USA
1991,10.1109/VISUAL.1991.175794,Andreas Buja,"Bellcore, Morristown, NJ, USA",USA
1991,10.1109/VISUAL.1991.175794,John Alan McDonald,,
1991,10.1109/VISUAL.1991.175794,J. Michalak,,
1991,10.1109/VISUAL.1991.175794,Werner Stuetzle,,
1991,10.1109/VISUAL.1991.175795,Haim Levkowitz,"University of Massachusetts Lowell, USA",USA
1991,10.1109/VISUAL.1991.175796,Ted Mihalisin,"Mihalisin Associates, Ambler, PA, USA",USA
1991,10.1109/VISUAL.1991.175796,John Timlin,"Mihalisin Associates, Ambler, PA, USA",USA
1991,10.1109/VISUAL.1991.175796,John Schwegler,"Mihalisin Associates, Ambler, PA, USA",USA
1991,10.1109/VISUAL.1991.175797,Kenneth P. Hinkley,"Worcester Polytechnical Institute, USA",USA
1991,10.1109/VISUAL.1991.175797,Matthew O. Ward,"Worcester Polytechnical Institute, USA",USA
1991,10.1109/VISUAL.1991.175799,Nahum D. Gershon,"Mitre Corporation, USA",USA
1991,10.1109/VISUAL.1991.175800,S. K. Law,"Tulane University, New Orleans, LA, USA",USA
1991,10.1109/VISUAL.1991.175800,P. L. Nunez,"Tulane University, New Orleans, LA, USA",USA
1991,10.1109/VISUAL.1991.175800,A. F. Westdorp,"Tulane University, New Orleans, LA, USA",USA
1991,10.1109/VISUAL.1991.175800,A. V. Nelson,"Tulane University, New Orleans, LA, USA",USA
1991,10.1109/VISUAL.1991.175800,K. L. Pilgreen,"Tulane University, New Orleans, LA, USA",USA
1991,10.1109/VISUAL.1991.175801,Guang-Zhong Yang,"Imperial College London, UK",UK
1991,10.1109/VISUAL.1991.175801,Peter Burger,"Imperial College London, UK",UK
1991,10.1109/VISUAL.1991.175801,Philip J. Kilner,,
1991,10.1109/VISUAL.1991.175801,Raad Mohiaddin,,
1991,10.1109/VISUAL.1991.175802,Nils Thune,"Christian Michelsen Research, Norway",Norway
1991,10.1109/VISUAL.1991.175802,Bjørn Olstad,,
